SRR16874101.fastq.res,SRR16874102.fastq.res,SRR16874103.fastq.res,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
0.0,0.0,1.94,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,
0.0,4.35,0.0,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,
0.0,0.0,14.07,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,,
0.0,0.99,3.28,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium citrinum
0.0,5.33,0.0,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
0.0,1.78,0.0,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,
0.0,4.14,8.29,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,,
0.0,12.7,17.66,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
0.0,3.31,0.0,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Calonectria,Calonectria colhounii
0.0,6.07,1.66,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium circinatum
0.0,0.55,1.1,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,
0.0,1.02,0.0,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,,
0.0,8.2,3.28,Eukaryota,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiales,Brachybasidiaceae,,
0.0,7.91,20.990000000000002,Eukaryota,Fungi,unk_p,unk_c,unk_o,,,
0.0,0.0,6.82,Eukaryota,Fungi,unk_p,unk_c,unk_o,unk_f,,
0.0,15.58,24.24,Eukaryota,Metazoa,Annelida,Polychaeta,unk_o,Capitellidae,,
0.0,14.45,26.16,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Lycosidae,,
93.25,485.65,868.62,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,,,
2.38,14.27,21.88,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Salticidae,,
0.0,5.13,3.73,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,
0.0,52.04,92.09,Eukaryota,Metazoa,Arthropoda,Arachnida,Sarcoptiformes,Acaridae,Tyrophagus,Tyrophagus fanetzhangorum
0.0,202.27,348.11,Eukaryota,Metazoa,Arthropoda,Arachnida,Sarcoptiformes,,,
0.0,1.76,2.64,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,,,
0.0,1.9,0.0,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Calliphoridae,,
4.22,0.0,0.0,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus
0.72,0.0,0.0,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Aedes,
0.0,0.0,3.38,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles koliensis
0.0,1.54,0.0,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex bahamensis
0.0,22.96,29.97,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,,,
0.0,35.2,45.65,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Tephritidae,unk_g,Tephritidae sp. PNGFF051-10
0.0,4.06,6.59,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphrophoridae,,
132.66,1797.76,2309.84,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,,,
0.0,155.07,183.14,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,,,
0.0,4.28,0.95,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Bocana,Bocana manifestalis
0.0,14.5,7.02,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,,
1.0,29.49,45.23,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,,,
0.0,0.0,4.85,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Saturniidae,Archaeoattacus,
0.0,18.91,41.97,Eukaryota,Metazoa,Arthropoda,Insecta,Orthoptera,Gryllidae,Cardiodactylus,Cardiodactylus javarere
1.43,9.02,9.5,Eukaryota,Metazoa,Chordata,Aves,Columbiformes,Columbidae,Ptilinopus,Ptilinopus magnificus
39.45,14157.9,19903.1,Eukaryota,Metazoa,Chordata,Aves,Coraciiformes,Alcedinidae,Ceyx,
0.0,22.22,27.05,Eukaryota,Metazoa,Chordata,Aves,Coraciiformes,Alcedinidae,,
0.0,5.31,6.76,Eukaryota,Metazoa,Chordata,Aves,Gruiformes,,,
3.33,0.0,0.0,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Monarchidae,,
1.42,0.95,0.0,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura rufiventris
0.0,8.05,12.9,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Sturnidae,Aplonis,Aplonis pelzelni
2.95,3.93,3.44,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Timaliidae,,
0.0,29.39,36.04,Eukaryota,Metazoa,Chordata,Aves,Psittaciformes,Psittacidae,Micropsitta,
0.0,0.95,6.17,Eukaryota,Metazoa,Chordata,Aves,Psittaciformes,Psittaculidae,Lorius,
5.64,18.689999999999998,75.63000000000001,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
0.0,0.0,3.3,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Diplogasteridae,,
0.0,1.22,1.63,Eukaryota,unk_k,Apicomplexa,Conoidasida,Eucoccidiorida,Eimeriidae,Isospora,
0.0,6.92,18.34,Eukaryota,unk_k,Apicomplexa,Conoidasida,Eucoccidiorida,Eimeriidae,,
0.0,1.42,0.0,Eukaryota,unk_k,Discosea,unk_c,Himatismenida,Cochliopodiidae,Cochliopodium,Cochliopodium minus
0.0,1.42,5.64,Eukaryota,unk_k,Discosea,unk_c,Himatismenida,Cochliopodiidae,,
0.0,0.0,1.89,Eukaryota,unk_k,Discosea,unk_c,Himatismenida,,,
0.0,0.75,0.0,Eukaryota,unk_k,Oomycota,unk_c,Albuginales,Albuginaceae,Albugo,
